class,numOfCorrect
http://api.stardog.com/Place,6598
http://api.stardog.com/Agent,5662
http://api.stardog.com/Work,2757
http://api.stardog.com/Language,1236
http://api.stardog.com/TopicalConcept,815
http://api.stardog.com/Disease,271
http://api.stardog.com/EthnicGroup,129
http://api.stardog.com/Event,124
http://api.stardog.com/ChemicalSubstance,109
http://api.stardog.com/Colour,97
http://api.stardog.com/MeanOfTransportation,86
http://api.stardog.com/Species,46
http://api.stardog.com/Activity,43
http://api.stardog.com/Device,37
http://api.stardog.com/Food,22
http://api.stardog.com/Award,5
http://api.stardog.com/AnatomicalStructure,4
http://api.stardog.com/Currency,1
http://api.stardog.com/Holiday,1
http://api.stardog.com/Name,1
