Test Data,Train Data,Accuracy,F1 Score,Precision,Recall,Inference Time,Training Time,If Test in Train,"Accuracy, err","F1 Score, err","Precision, err","Recall, err",N of Datasets in Train
LC-QuAD,LC-QuAD+WebQuestions+SimpleQuestions,"0,8866","0,8771","0,8745","0,8866","3,6826","3777,8375",1,"0,0062","0,0086","0,0107","0,0062",3
LC-QuAD,QALD,"0,2294","0,0858","0,0528","0,2294","3,6477","29,9735",0,"0,0000","0,0005","0,0004","0,0000",1
LC-QuAD,QALD+CogComp,"0,7294","0,7138","0,7199","0,7294","3,6664","347,6887",0,"0,0091","0,0079","0,0050","0,0091",2
LC-QuAD,QALD+CogComp+SimpleQuestions,"0,7351","0,7319","0,7488","0,7351","3,6408","3720,4021",0,"0,0159","0,0138","0,0036","0,0159",3
LC-QuAD,QALD+CogComp+WebQuestions,"0,7662","0,7648","0,7788","0,7662","3,6397","588,5798",0,"0,0352","0,0312","0,0279","0,0352",3
LC-QuAD,QALD+CogComp+WebQuestions+SimpleQuestions,"0,7368","0,7357","0,7523","0,7368","3,6123","3955,6528",0,"0,0224","0,0184","0,0136","0,0224",4
LC-QuAD,QALD+SimpleQuestions,"0,7182","0,7140","0,7690","0,7182","3,6244","3416,8867",0,"0,0423","0,0403","0,0159","0,0423",2
LC-QuAD,QALD+WebQuestions,"0,7195","0,7287","0,7625","0,7195","4,3938","285,5550",0,"0,0688","0,0659","0,0495","0,0688",2
LC-QuAD,QALD+WebQuestions+SimpleQuestions,"0,7515","0,7548","0,7912","0,7515","3,6399","3669,1960",0,"0,0297","0,0289","0,0219","0,0297",3
LC-QuAD,SimpleQuestions,"0,2874","0,1866","0,2362","0,2874","4,3174","3369,9567",0,"0,0481","0,0632","0,0880","0,0481",1
LC-QuAD,WebQuestions,"0,3576","0,3022","0,4036","0,3576","3,6093","254,1094",0,"0,0110","0,0167","0,0295","0,0110",1
LC-QuAD,WebQuestions+SimpleQuestions,"0,4416","0,3823","0,5231","0,4416","3,6561","3633,5561",0,"0,0610","0,0762","0,0179","0,0610",2
QALD,CogComp,"0,7305","0,7051","0,7835","0,7305","0,5881","313,4577",0,"0,0251","0,0179","0,0315","0,0251",1
QALD,CogComp+SimpleQuestions,"0,6369","0,6549","0,7401","0,6369","0,5988","3692,4226",0,"0,0466","0,0283","0,0345","0,0466",2
QALD,CogComp+WebQuestions,"0,7759","0,7759","0,8264","0,7759","0,5955","558,4678",0,"0,0259","0,0213","0,0320","0,0259",2
QALD,CogComp+WebQuestions+SimpleQuestions,"0,6993","0,7153","0,8105","0,6993","0,5901","3937,8810",0,"0,0849","0,0794","0,0816","0,0849",3
QALD,LC-QuAD,"0,6440","0,5846","0,5710","0,6440","0,5896","164,4754",0,"0,0529","0,0439","0,0567","0,0529",1
QALD,LC-QuAD+CogComp,"0,8043","0,7735","0,7794","0,8043","0,5900","465,1841",0,"0,0228","0,0184","0,0486","0,0228",2
QALD,LC-QuAD+CogComp+SimpleQuestions,"0,7816","0,7578","0,7799","0,7816","0,5886","3841,3149",0,"0,0455","0,0434","0,0192","0,0455",3
QALD,LC-QuAD+CogComp+WebQuestions,"0,8369","0,8298","0,8494","0,8369","0,5952","709,5535",0,"0,0265","0,0298","0,0457","0,0265",3
QALD,LC-QuAD+CogComp+WebQuestions+SimpleQuestions,"0,8156","0,7969","0,8555","0,8156","0,5900","4083,1656",0,"0,0241","0,0263","0,0576","0,0241",4
QALD,LC-QuAD+QALD,"0,8199","0,7917","0,8073","0,8199","0,5782","196,7963",1,"0,0163","0,0256","0,0240","0,0163",2
QALD,LC-QuAD+QALD+CogComp,"0,8681","0,8452","0,9045","0,8681","0,5994","498,9568",1,"0,0147","0,0151","0,0084","0,0147",3
QALD,LC-QuAD+QALD+CogComp+SimpleQuestions,"0,8397","0,8193","0,8712","0,8397","0,5933","3878,0799",1,"0,0456","0,0499","0,0705","0,0456",4
QALD,LC-QuAD+QALD+CogComp+WebQuestions,"0,8879","0,8839","0,9105","0,8879","0,5871","744,4419",1,"0,0154","0,0154","0,0126","0,0154",4
QALD,LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,"0,8582","0,8494","0,9028","0,8582","0,5880","4118,6643",1,"0,0150","0,0140","0,0171","0,0150",5
QALD,LC-QuAD+QALD+SimpleQuestions,"0,8326","0,7983","0,7862","0,8326","0,5948","3572,1835",1,"0,0291","0,0345","0,0335","0,0291",3
QALD,LC-QuAD+QALD+WebQuestions,"0,8426","0,8362","0,8417","0,8426","0,5948","439,1810",1,"0,0117","0,0124","0,0125","0,0117",3
QALD,LC-QuAD+QALD+WebQuestions+SimpleQuestions,"0,8355","0,8141","0,8442","0,8355","0,5965","3820,3177",1,"0,0342","0,0420","0,0587","0,0342",4
QALD,LC-QuAD+SimpleQuestions,"0,7333","0,6763","0,6422","0,7333","0,5936","3529,6902",0,"0,0163","0,0222","0,0298","0,0163",2
QALD,LC-QuAD+WebQuestions,"0,7702","0,7601","0,7774","0,7702","0,5824","406,0675",0,"0,0286","0,0339","0,0378","0,0286",2
QALD,LC-QuAD+WebQuestions+SimpleQuestions,"0,7872","0,7688","0,7914","0,7872","0,5917","3777,8375",0,"0,0521","0,0606","0,0514","0,0521",3
QALD,QALD,"0,3262","0,1610","0,1069","0,3262","0,5888","29,9735",1,"0,0000","0,0012","0,0010","0,0000",1
QALD,QALD+CogComp,"0,8709","0,8563","0,8844","0,8709","0,5912","347,6887",1,"0,0092","0,0180","0,0052","0,0092",2
QALD,QALD+CogComp+SimpleQuestions,"0,8766","0,8632","0,9028","0,8766","0,5950","3720,4021",1,"0,0249","0,0229","0,0250","0,0249",3
QALD,QALD+CogComp+WebQuestions,"0,8979","0,8964","0,9057","0,8979","0,6005","588,5798",1,"0,0081","0,0064","0,0087","0,0081",3
QALD,QALD+CogComp+WebQuestions+SimpleQuestions,"0,8794","0,8812","0,9071","0,8794","0,5860","3955,6528",1,"0,0288","0,0272","0,0305","0,0288",4
QALD,QALD+SimpleQuestions,"0,8397","0,8192","0,8551","0,8397","0,5936","3416,8867",1,"0,0406","0,0446","0,0668","0,0406",2
QALD,QALD+WebQuestions,"0,8652","0,8546","0,8534","0,8652","0,5959","285,5550",1,"0,0194","0,0250","0,0291","0,0194",2
QALD,QALD+WebQuestions+SimpleQuestions,"0,8652","0,8644","0,8829","0,8652","0,5934","3669,1960",1,"0,0235","0,0206","0,0162","0,0235",3
QALD,SimpleQuestions,"0,3816","0,2960","0,3122","0,3816","0,5792","3369,9567",0,"0,0987","0,1290","0,1743","0,0987",1
QALD,WebQuestions,"0,6369","0,6322","0,6664","0,6369","0,5798","254,1094",0,"0,0534","0,0533","0,0573","0,0534",1
QALD,WebQuestions+SimpleQuestions,"0,7149","0,7214","0,8028","0,7149","0,5902","3633,5561",0,"0,0715","0,0723","0,0280","0,0715",2
SimpleQuestions,CogComp,"0,5899","0,6557","0,8170","0,5899","71,3513","313,4577",0,"0,0101","0,0134","0,0251","0,0101",1
SimpleQuestions,CogComp+SimpleQuestions,"0,7303","0,7494","0,8710","0,7303","73,1608","3692,4226",1,"0,0342","0,0379","0,0174","0,0342",2
SimpleQuestions,CogComp+WebQuestions,"0,7201","0,7477","0,8076","0,7201","73,4491","558,4678",0,"0,0101","0,0067","0,0097","0,0101",2
SimpleQuestions,CogComp+WebQuestions+SimpleQuestions,"0,6986","0,7188","0,8576","0,6986","72,3564","3937,8810",1,"0,0875","0,0866","0,0253","0,0875",3
SimpleQuestions,LC-QuAD,"0,7094","0,6894","0,7164","0,7094","71,7289","164,4754",0,"0,0372","0,0298","0,0301","0,0372",1
SimpleQuestions,LC-QuAD+CogComp,"0,7236","0,7590","0,8258","0,7236","71,5897","465,1841",0,"0,0341","0,0243","0,0118","0,0341",2
SimpleQuestions,LC-QuAD+CogComp+SimpleQuestions,"0,8902","0,8929","0,9176","0,8902","72,7862","3841,3149",1,"0,0453","0,0442","0,0204","0,0453",3
SimpleQuestions,LC-QuAD+CogComp+WebQuestions,"0,7941","0,7985","0,8275","0,7941","72,7057","709,5535",0,"0,0187","0,0197","0,0225","0,0187",3
SimpleQuestions,LC-QuAD+CogComp+WebQuestions+SimpleQuestions,"0,8757","0,8814","0,9088","0,8757","72,5233","4083,1656",1,"0,0175","0,0160","0,0065","0,0175",4
SimpleQuestions,LC-QuAD+QALD,"0,7624","0,7509","0,7716","0,7624","71,5509","196,7963",0,"0,0194","0,0307","0,0647","0,0194",2
SimpleQuestions,LC-QuAD+QALD+CogComp,"0,7472","0,7877","0,8731","0,7472","72,7764","498,9568",0,"0,0401","0,0318","0,0310","0,0401",3
SimpleQuestions,LC-QuAD+QALD+CogComp+SimpleQuestions,"0,8807","0,8854","0,9087","0,8807","72,8566","3878,0799",1,"0,0547","0,0509","0,0342","0,0547",4
SimpleQuestions,LC-QuAD+QALD+CogComp+WebQuestions,"0,7911","0,8060","0,8427","0,7911","72,5997","744,4419",0,"0,0244","0,0239","0,0246","0,0244",4
SimpleQuestions,LC-QuAD+QALD+CogComp+WebQuestions+SimpleQuestions,"0,8816","0,8872","0,9126","0,8816","72,7405","4118,6643",1,"0,0255","0,0236","0,0103","0,0255",5
SimpleQuestions,LC-QuAD+QALD+SimpleQuestions,"0,9052","0,9067","0,9211","0,9052","72,7117","3572,1835",1,"0,0171","0,0157","0,0102","0,0171",3
SimpleQuestions,LC-QuAD+QALD+WebQuestions,"0,7781","0,7793","0,8108","0,7781","72,9687","439,1810",0,"0,0116","0,0054","0,0095","0,0116",3
SimpleQuestions,LC-QuAD+QALD+WebQuestions+SimpleQuestions,"0,8973","0,8954","0,9159","0,8973","72,8325","3820,3177",1,"0,0253","0,0328","0,0148","0,0253",4
SimpleQuestions,LC-QuAD+SimpleQuestions,"0,9181","0,9182","0,9271","0,9181","73,1721","3529,6902",1,"0,0192","0,0176","0,0099","0,0192",2
